,Id,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
1,1,22,female,2,own,little,moderate,5951,48,radio/TV,bad
3,3,45,male,2,free,little,little,7882,42,furniture/equipment,good
4,4,53,male,2,free,little,little,4870,24,car,bad
7,7,35,male,3,rent,little,moderate,6948,36,car,good
9,9,28,male,3,own,little,moderate,5234,30,car,bad
10,10,25,female,2,rent,little,moderate,1295,12,car,bad
11,11,24,female,2,rent,little,little,4308,48,business,bad
12,12,22,female,2,own,little,moderate,1567,12,radio/TV,good
13,13,60,male,1,own,little,little,1199,24,car,bad
14,14,28,female,2,rent,little,little,1403,15,car,good
15,15,32,female,1,own,moderate,little,1282,24,radio/TV,bad
18,18,44,female,3,free,little,moderate,12579,24,car,bad
21,21,44,male,2,rent,quite rich,little,2647,6,radio/TV,good
22,22,48,male,1,rent,little,little,2241,10,car,good
23,23,44,male,2,own,moderate,moderate,1804,12,car,good
25,25,36,male,1,own,little,little,1374,6,furniture/equipment,good
27,27,42,female,2,rent,rich,rich,409,12,radio/TV,good
28,28,34,male,2,own,little,moderate,2415,7,radio/TV,good
29,29,63,male,2,own,little,little,6836,54,business,bad
30,30,36,male,2,own,rich,moderate,1913,18,business,good
31,31,27,male,2,own,little,little,4020,24,furniture/equipment,good
32,32,30,male,2,own,moderate,moderate,5866,18,car,good
34,34,33,female,3,own,little,rich,1474,12,furniture/equipment,good
35,35,25,male,1,own,little,moderate,4746,45,radio/TV,bad
37,37,37,male,2,own,little,rich,2100,18,radio/TV,bad
38,38,37,male,2,own,little,rich,1225,10,domestic appliances,good
39,39,24,male,2,own,little,moderate,458,9,radio/TV,good
41,41,26,male,2,own,quite rich,moderate,1158,12,radio/TV,good
42,42,44,male,1,own,little,moderate,6204,18,repairs,good
43,43,24,male,2,rent,moderate,little,6187,30,car,good
44,44,58,female,1,free,little,little,6143,48,car,bad
47,47,23,female,0,rent,quite rich,little,1352,6,car,good
51,51,30,male,3,own,little,moderate,5965,27,car,good
54,54,57,male,2,free,little,moderate,2225,36,car,bad
58,58,23,female,3,own,little,rich,1961,18,car,good
59,59,23,female,1,rent,little,little,6229,36,furniture/equipment,bad
60,60,27,male,2,own,little,moderate,1391,9,business,good
62,62,61,male,3,free,little,moderate,1953,36,business,bad
63,63,25,male,2,own,little,moderate,14421,48,business,bad
67,67,22,male,2,own,rich,moderate,1007,12,car,good
72,72,51,male,3,free,little,little,1164,8,vacation/others,good
73,73,41,female,1,own,little,moderate,5954,42,business,good
75,75,66,male,3,free,little,little,1526,12,car,good
76,76,34,male,2,own,little,little,3965,42,radio/TV,bad
77,77,51,male,2,own,little,moderate,4771,11,radio/TV,good
79,79,22,male,2,own,little,moderate,3832,30,furniture/equipment,good
83,83,58,female,1,own,little,little,1755,24,vacation/others,good
84,84,52,male,1,own,little,little,2315,10,radio/TV,good
86,86,27,female,2,own,little,moderate,1295,18,furniture/equipment,good
87,87,47,male,2,free,moderate,moderate,12612,36,education,bad
88,88,30,male,3,own,moderate,little,2249,18,car,good
89,89,28,male,2,own,little,little,1108,12,repairs,bad
91,91,54,male,2,own,little,little,1409,12,car,good
94,94,54,male,2,own,rich,moderate,1318,12,car,good
95,95,58,male,2,rent,little,moderate,15945,54,business,bad
97,97,34,male,2,own,moderate,moderate,2622,18,business,good
98,98,36,male,2,own,little,moderate,2337,36,radio/TV,good
101,101,24,male,2,rent,little,moderate,2323,36,radio/TV,good
103,103,35,male,2,rent,little,moderate,1919,9,furniture/equipment,good
105,105,39,male,3,own,little,moderate,11938,24,vacation/others,bad
107,107,32,male,2,own,little,moderate,6078,12,car,good
109,109,35,male,2,own,quite rich,moderate,1410,14,business,good
110,110,31,male,2,own,moderate,moderate,1449,6,business,good
111,111,23,female,2,rent,little,rich,392,15,education,good
112,112,28,male,1,rent,little,moderate,6260,18,car,good
114,114,35,male,2,own,quite rich,little,1680,12,radio/TV,good
118,118,23,female,2,own,quite rich,little,4281,33,furniture/equipment,bad
119,119,36,male,3,own,quite rich,moderate,2366,12,car,good
120,120,25,female,2,own,little,little,1835,21,radio/TV,bad
123,123,63,male,2,free,little,rich,781,10,car,good
125,125,30,male,2,own,little,little,2121,12,car,good
126,126,40,male,1,own,little,little,701,12,radio/TV,good
127,127,30,male,2,own,little,moderate,639,12,repairs,bad
128,128,34,male,3,own,little,moderate,1860,12,car,good
129,129,29,female,2,own,little,little,3499,12,car,bad
131,131,29,male,2,own,little,little,6887,36,education,bad
137,137,66,male,1,own,quite rich,moderate,766,12,radio/TV,bad
139,139,44,female,1,rent,little,rich,1881,12,radio/TV,good
140,140,27,male,0,own,rich,rich,709,6,car,good
141,141,30,female,3,own,little,moderate,4795,36,radio/TV,good
142,142,27,male,3,own,little,little,3416,27,radio/TV,good
143,143,22,male,2,own,little,little,2462,18,furniture/equipment,bad
145,145,30,male,2,own,moderate,moderate,3566,48,business,good
146,146,39,female,2,own,little,little,860,6,car,good
148,148,28,male,2,own,little,little,5371,36,furniture/equipment,good
152,152,24,male,2,own,little,rich,5848,36,radio/TV,good
153,153,29,female,2,rent,rich,moderate,7758,24,car,good
154,154,36,male,3,rent,moderate,moderate,6967,24,business,good
155,155,20,female,2,rent,little,little,1282,12,furniture/equipment,bad
156,156,48,male,2,own,moderate,little,1288,9,repairs,good
157,157,45,male,1,own,little,little,339,12,education,good
158,158,38,male,2,own,moderate,moderate,3512,24,car,good
163,163,68,male,3,free,little,moderate,7308,10,car,good
166,166,33,female,2,own,little,little,1131,18,furniture/equipment,bad
167,167,20,female,2,own,rich,moderate,1577,11,furniture/equipment,good
169,169,31,male,2,own,little,moderate,1935,24,business,bad
170,170,33,male,2,rent,little,little,950,15,car,bad
172,172,34,female,3,own,little,moderate,2064,24,furniture/equipment,bad
173,173,33,male,2,own,little,moderate,1414,8,radio/TV,good
174,174,26,male,2,own,little,little,3414,21,education,bad
176,176,42,male,2,own,little,little,2577,12,furniture/equipment,good
177,177,52,male,2,own,quite rich,little,338,6,radio/TV,good
179,179,65,male,2,own,little,little,571,21,car,good
181,181,30,male,3,own,little,moderate,4455,36,business,bad
184,184,36,male,2,own,little,moderate,884,18,car,bad
186,186,68,female,3,free,little,moderate,5129,9,car,bad
187,187,68,male,0,free,little,moderate,1175,16,car,good
188,188,20,male,2,own,moderate,little,674,12,radio/TV,bad
189,189,33,female,2,own,little,moderate,3244,18,furniture/equipment,good
191,191,34,male,1,free,moderate,moderate,3844,48,business,bad
192,192,36,male,2,own,little,moderate,3915,27,business,bad
194,194,21,male,2,rent,moderate,moderate,3031,45,radio/TV,bad
195,195,34,female,3,own,little,moderate,1501,9,education,bad
197,197,27,female,2,rent,moderate,moderate,951,12,furniture/equipment,bad
199,199,40,male,3,own,little,moderate,4297,18,furniture/equipment,bad
201,201,27,male,1,own,little,little,1168,12,car,good
203,203,21,male,2,rent,little,little,902,12,education,bad
205,205,38,male,3,free,little,little,10623,30,car,good
207,207,26,male,2,own,little,moderate,1424,12,domestic appliances,good
208,208,21,male,1,own,little,little,6568,24,business,good
212,212,50,male,2,own,little,little,5293,27,business,bad
213,213,66,male,3,own,little,rich,1908,30,business,bad
216,216,31,male,2,own,little,little,3104,18,business,good
217,217,23,male,2,own,little,rich,3913,36,radio/TV,good
218,218,24,male,1,rent,little,little,3021,24,furniture/equipment,good
220,220,26,male,1,own,little,moderate,625,12,radio/TV,good
226,226,27,male,2,own,rich,moderate,10961,48,radio/TV,bad
227,227,53,male,3,free,little,little,7865,12,furniture/equipment,bad
229,229,22,male,2,free,little,little,3149,24,furniture/equipment,good
230,230,26,male,2,own,little,rich,4210,36,radio/TV,bad
233,233,25,male,1,own,little,moderate,866,18,radio/TV,good
235,235,30,male,3,own,little,little,1823,24,radio/TV,bad
237,237,61,male,1,rent,moderate,moderate,2767,21,business,bad
239,239,39,male,2,own,little,little,2522,30,radio/TV,good
242,242,24,male,2,free,little,little,4605,48,car,bad
248,248,26,male,2,own,little,rich,1925,24,furniture/equipment,good
250,250,39,female,1,own,rich,little,666,6,car,good
251,251,46,female,1,own,little,rich,2251,12,furniture/equipment,good
252,252,24,female,2,own,little,moderate,2150,30,car,bad
257,257,29,male,2,free,little,little,2149,12,radio/TV,bad
260,260,27,male,2,own,little,little,1657,12,furniture/equipment,good
261,261,55,female,2,own,little,little,1603,24,radio/TV,good
262,262,36,male,3,free,little,little,5302,18,car,good
265,265,37,male,2,own,little,moderate,802,15,radio/TV,bad
268,268,45,male,3,own,little,little,8978,14,car,bad
273,273,28,male,2,own,little,moderate,3060,48,radio/TV,bad
274,274,34,male,1,own,little,little,11998,30,repairs,bad
284,284,37,male,2,own,moderate,moderate,3878,24,car,good
285,285,35,female,1,own,little,little,10722,47,car,good
286,286,26,male,2,own,little,little,4788,48,car,good
287,287,31,male,3,free,moderate,moderate,7582,48,vacation/others,good
288,288,49,female,2,own,little,moderate,1092,12,radio/TV,good
289,289,48,male,2,own,little,little,1024,24,radio/TV,bad
291,291,28,male,3,rent,little,moderate,9398,36,car,bad
292,292,44,female,3,free,little,little,6419,24,car,good
293,293,56,male,2,free,little,rich,4796,42,car,good
295,295,26,female,2,own,little,moderate,9960,48,furniture/equipment,bad
299,299,32,male,2,own,rich,moderate,2745,21,furniture/equipment,good
301,301,42,female,2,own,little,moderate,3804,36,radio/TV,bad
303,303,49,male,2,own,little,little,1038,10,car,good
307,307,33,male,1,own,moderate,little,727,12,radio/TV,bad
308,308,24,female,2,own,little,moderate,1237,8,furniture/equipment,bad
309,309,22,male,1,rent,little,moderate,276,9,car,good
312,312,26,female,2,own,little,rich,3749,24,furniture/equipment,good
313,313,25,male,1,own,little,moderate,685,12,car,bad
315,315,31,male,2,own,little,little,2746,36,furniture/equipment,bad
316,316,38,male,1,own,little,little,708,12,furniture/equipment,good
319,319,27,female,1,own,little,little,3643,15,furniture/equipment,good
320,320,28,male,3,own,little,moderate,4249,30,car,bad
321,321,32,male,2,own,little,little,1938,24,radio/TV,bad
322,322,34,male,3,free,little,little,2910,24,car,good
323,323,28,male,2,own,rich,little,2659,18,furniture/equipment,good
325,325,39,male,1,own,little,little,3398,8,car,good
328,328,31,male,2,own,little,rich,4473,36,radio/TV,good
329,329,28,male,2,own,little,moderate,1068,6,radio/TV,good
330,330,68,male,3,free,little,little,6615,24,car,good
332,332,24,female,3,own,moderate,moderate,7408,54,car,bad
334,334,23,male,2,rent,little,little,4110,24,furniture/equipment,bad
335,335,44,male,3,rent,little,little,3384,6,furniture/equipment,bad
336,336,23,female,1,own,little,moderate,2101,13,radio/TV,good
338,338,28,male,2,own,little,little,4169,24,furniture/equipment,good
339,339,31,male,1,own,little,moderate,1521,10,furniture/equipment,good
340,340,24,female,2,free,little,moderate,5743,24,education,good
341,341,26,female,1,rent,little,little,3599,21,furniture/equipment,good
342,342,25,male,2,rent,quite rich,moderate,3213,18,radio/TV,good
343,343,33,male,3,own,little,moderate,4439,18,business,good
344,344,37,male,1,own,little,rich,3949,10,car,good
346,346,23,male,2,own,little,moderate,882,13,radio/TV,good
347,347,23,female,0,rent,quite rich,moderate,3758,24,radio/TV,good
349,349,32,male,2,free,rich,moderate,1136,9,education,bad
351,351,29,female,2,own,little,moderate,959,9,furniture/equipment,bad
353,353,28,male,2,rent,little,little,6199,12,radio/TV,bad
355,355,23,male,1,own,little,moderate,1246,24,car,bad
359,359,23,female,2,rent,little,little,2406,30,furniture/equipment,bad
362,362,36,female,2,own,little,rich,2247,12,car,good
364,364,25,male,0,own,little,little,2473,18,furniture/equipment,bad
367,367,22,female,2,rent,little,little,3650,18,furniture/equipment,good
368,368,42,male,2,own,little,little,3446,36,furniture/equipment,bad
369,369,40,female,2,rent,little,moderate,3001,18,furniture/equipment,good
374,374,60,female,3,free,moderate,moderate,14782,54,vacation/others,bad
375,375,37,female,2,rent,little,little,7685,48,business,bad
378,378,57,male,3,free,little,moderate,14318,36,car,bad
381,381,38,female,3,free,little,moderate,12976,18,car,bad
383,383,26,male,2,own,little,rich,1330,12,car,good
387,387,40,male,3,own,little,moderate,7374,18,furniture/equipment,good
388,388,27,male,2,own,quite rich,moderate,2326,15,business,good
391,391,19,female,1,rent,rich,moderate,983,12,furniture/equipment,good
392,392,39,male,3,free,little,little,3249,36,car,good
393,393,31,female,2,own,little,little,1957,6,radio/TV,good
395,395,32,male,2,rent,moderate,moderate,11760,39,education,good
396,396,55,female,3,free,little,little,2578,12,furniture/equipment,good
397,397,46,male,2,own,little,little,2348,36,furniture/equipment,good
398,398,46,male,2,rent,little,moderate,1223,12,car,bad
405,405,22,male,2,own,little,moderate,2039,24,radio/TV,bad
407,407,27,male,2,own,little,little,1053,15,radio/TV,good
409,409,28,male,2,own,quite rich,rich,939,12,car,bad
410,410,20,female,2,own,little,moderate,1967,24,radio/TV,good
416,416,33,male,1,own,little,little,2579,12,car,bad
422,422,47,male,1,own,little,moderate,958,12,car,good
425,425,21,male,2,rent,little,moderate,2779,18,car,good
429,429,55,female,0,free,little,little,1190,18,repairs,bad
431,431,29,male,3,own,little,moderate,11328,24,vacation/others,bad
432,432,36,male,3,free,little,little,1872,6,furniture/equipment,good
434,434,25,male,2,own,little,little,2136,9,furniture/equipment,good
438,438,65,male,0,own,little,little,3394,42,repairs,good
439,439,26,female,0,own,little,rich,609,12,business,bad
441,441,30,female,2,own,little,little,1620,12,furniture/equipment,good
442,442,29,male,2,own,little,moderate,2629,20,vacation/others,good
444,444,30,female,3,own,little,moderate,5096,48,furniture/equipment,bad
446,446,34,female,2,own,little,little,1842,36,car,bad
447,447,35,male,2,own,little,moderate,2576,7,radio/TV,good
449,449,61,male,2,own,rich,moderate,1512,15,repairs,bad
454,454,31,male,2,own,little,little,4817,24,car,bad
456,456,36,male,2,rent,little,little,3905,11,car,good
457,457,35,male,2,free,little,little,3386,12,car,bad
458,458,27,female,2,own,little,little,343,6,domestic appliances,good
460,460,37,male,2,own,little,little,3620,36,furniture/equipment,good
461,461,36,male,2,own,little,little,1721,15,car,good
462,462,34,female,3,rent,little,moderate,3017,12,furniture/equipment,good
465,465,63,male,2,own,little,little,2924,24,car,good
466,466,29,female,1,rent,little,little,1659,24,radio/TV,bad
470,470,22,male,2,rent,moderate,moderate,3092,24,radio/TV,bad
471,471,23,female,2,own,little,little,448,6,education,bad
472,472,28,male,1,own,little,little,654,9,car,bad
474,474,33,male,2,own,little,moderate,1245,18,radio/TV,bad
475,475,26,female,2,rent,little,little,3114,18,furniture/equipment,bad
477,477,25,male,2,own,little,rich,5152,24,radio/TV,good
478,478,39,male,1,own,moderate,moderate,1037,12,business,good
479,479,44,male,2,own,little,little,1478,15,furniture/equipment,good
480,480,23,female,1,own,little,moderate,3573,12,radio/TV,good
481,481,26,male,2,own,little,moderate,1201,24,car,good
482,482,57,female,2,rent,rich,little,3622,30,furniture/equipment,good
485,485,47,male,3,own,little,moderate,1209,6,car,bad
491,491,42,female,3,free,little,moderate,8318,27,business,bad
494,494,39,male,1,rent,little,little,2122,12,car,good
496,496,29,male,3,rent,moderate,moderate,9034,36,furniture/equipment,bad
498,498,32,male,1,own,little,moderate,1301,18,radio/TV,good
499,499,28,male,2,own,moderate,rich,1323,6,car,good
500,500,27,female,2,own,little,little,3123,24,car,bad
